,X,Y
-3033x2825,-892.97876,-900.34546
-3027x2956,-886.906,-769.5647
-3021x2962,-880.09033,-763.80444
-3017x2996,-876.97485,-729.58545
-3005x2878,-865.0559,-847.9724
-3005x2898,-864.94727,-827.1167
-3002x2965,-861.1714,-760.25464
-2997x3005,-856.94604,-720.2534
-2967x2894,-826.7449,-831.99146
-2963x2927,-822.75854,-798.00464
-2955x2874,-814.1819,-851.98
-2953x2982,-812.28174,-743.4016
-2949x2836,-808.166,-889.7329
-2948x2959,-807.7717,-766.8911
-2943x2897,-802.2046,-828.4514
-2941x3006,-800.43823,-719.85693
-2932x2961,-791.52026,-764.1355
-2922x2956,-781.53394,-769.3225
-2915x2823,-774.9353,-902.9402
-2910x2980,-770.0112,-745.28
-2907x2825,-767.0166,-900.0383
-2903x2931,-762.6013,-794.5115
-2898x2823,-757.875,-902.61426
-2898x2876,-757.15454,-849.8313
-2898x2865,-757.1714,-860.4531
-2883x2959,-742.76733,-766.9031
-2874x2836,-733.5886,-889.21216
-2870x2948,-729.2334,-777.2717
-2868x2875,-727.6018,-850.6211
-2859x2960,-718.40576,-765.14453
-2856x2828,-715.7788,-897.81055
-3026x2870,-885.3059,-855.9209
-3012x2884,-871.2871,-841.5801
-2958x3006,-817.1897,-719.8982
-2956x2952,-815.3611,-773.9236
-2923x2947,-782.6294,-778.72485
-2923x2845,-782.9304,-880.7803
-2896x2907,-755.96313,-818.2383
-2866x2826,-725.6721,-899.5176
-2867x2900,-727.0449,-825.3352
-2943x2904,-802.21606,-821.14185
-2891x2844,-750.81885,-881.9487
-2954x2966,-813.5032,-759.74585
-2877x2944,-736.73096,-781.65576
-2858x2987,-717.42847,-738.90186
-2982x2840,-841.19995,-885.91675
-2938x2941,-797.1262,-784.89233
-2911x2949,-770.65356,-776.15283
-2853x2855,-712.5842,-870.3347
-3031x3179,-890.4324,-546.2927
-3024x3059,-883.38477,-666.31494
-3020x3074,-879.5686,-651.5454
-3017x3191,-876.2527,-534.07837
-3017x3021,-876.1384,-704.7466
-3010x3164,-869.855,-561.16016
-3012x3082,-871.4741,-643.0432
-3005x3135,-864.18896,-590.1135
-2998x3140,-857.92725,-585.82324
-2996x3187,-855.6553,-538.38086
-2991x3049,-850.18896,-676.0344
-2992x3197,-851.583,-528.02905
-2991x3117,-850.94946,-608.103
-2976x3056,-835.9619,-669.7722
