,X,Y
1314x2162,-872.2574,-843.253
1322x2289,-864.5008,-716.97144
1334x2116,-851.88605,-889.1647
1340x2200,-845.9678,-805.5368
1341x2251,-845.5722,-754.13873
1343x2208,-842.5522,-797.4983
1345x2177,-840.8337,-829.0364
1353x2119,-832.6978,-886.7378
1352x2218,-834.17236,-787.76715
1356x2125,-829.689,-880.95435
1360x2220,-825.9944,-785.47156
1362x2238,-823.82025,-767.7955
1365x2290,-821.6832,-715.71246
1365x2274,-821.0034,-731.07434
1372x2131,-813.758,-874.9229
1373x2216,-812.73267,-789.5679
1379x2250,-807.4063,-755.074
1383x2224,-803.2057,-781.7076
1385x2138,-800.37714,-867.8412
1400x2232,-786.2165,-773.7101
1407x2146,-778.3345,-859.7775
1418x2148,-767.4961,-857.04956
1419x2241,-767.2647,-764.59515
1441x2239,-745.29395,-766.47107
1441x2192,-744.4524,-812.7986
1460x2274,-726.38275,-730.74817
1489x2274,-696.7856,-730.9057
1392x2192,-793.66364,-813.0314
1403x2262,-783.1406,-743.72845
1473x2163,-713.0481,-841.9836
1475x2238,-710.6858,-766.7225
1484x2296,-702.8066,-708.69763
1314x2145,-871.5848,-860.3937
1324x2260,-862.3575,-745.5071
1324x2191,-861.8869,-814.87244
1325x2184,-860.92737,-821.3434
1403x2206,-782.4568,-799.67725
1441x2220,-744.7426,-785.14185
1483x2234,-702.6223,-770.8815
1340x2114,-845.23096,-891.23444
1396x2282,-790.44745,-722.9317
1398x2142,-787.5005,-862.88116
1319x2156,-866.3549,-849.728
1325x2138,-860.80414,-867.459
1359x2128,-826.6097,-877.77515
1427x2162,-758.57446,-843.31934
1484x2175,-701.40985,-829.86993
1491x2183,-694.92786,-821.53796
1497x2286,-689.30585,-719.4395
1315x2346,-871.3773,-660.0781
1329x2444,-857.66565,-561.2628
1333x2423,-854.1627,-582.82526
1342x2428,-845.2182,-577.32965
1355x2315,-831.77325,-690.828
1359x2452,-828.3002,-553.37775
1360x2470,-826.59546,-535.66455
1370x2481,-817.294,-524.81854
1381x2432,-805.77527,-573.7581
1386x2490,-801.07245,-515.50635
1391x2360,-795.33746,-645.5749
1389x2431,-798.1058,-574.89185
1398x2461,-789.4402,-544.56445
1405x2397,-781.64386,-607.84955
1406x2450,-781.2454,-555.8055
1407x2327,-779.62573,-678.6353
1408x2480,-779.33075,-525.7849
1418x2405,-768.70294,-600.1671
1416x2488,-771.15424,-517.4299
1423x2453,-764.32385,-552.5569
1422x2495,-765.478,-509.78055
1433x2328,-753.78925,-677.38934
1432x2414,-754.4637,-590.99414
1440x2353,-746.63446,-651.7659
1441x2427,-745.4793,-578.67
1448x2404,-739.2452,-601.1467
1448x2416,-739.1646,-589.6612
1456x2432,-730.39514,-572.9228
1459x2422,-727.7737,-583.0896
1462x2361,-724.10394,-643.74347
1463x2334,-723.0288,-671.0974
1468x2377,-718.8848,-627.76337
1475x2402,-711.59485,-603.17847
1477x2459,-709.7372,-546.21893
1477x2321,-709.50616,-684.2577
1486x2451,-700.49634,-554.1429
1497x2425,-689.49817,-579.60345
1337x2399,-850.13086,-606.7212
